genus;family
Quercus;Fagaceae
Fagus;Fagaceae
Castanea;Fagaceae
Carpinus;Betulaceae
Betula;Betulaceae
Alnus;Betulaceae
Robinia;Fabaceae
Acer;Aceraceae
Celtis;Cannabaceae
Fraxinus;Oleaceae
Ulmus;Ulmaceae
Populus;Salicaceae
Tilia;Malvaceae
Prunus;Rosaceae
Sorbus;Rosaceae
Ficus;Moraceae
Pyrus;Rosaceae
Malus;Rosaceae
Salix;Salicaceae
Platanus;Platanaceae
Juglans;Juglandaceae
Olea;Oleaceae
Ailanthus;Simaroubaceae
Aesculus;Sapindaceae
Acacia;Fabaceae
Liquidambar;Altingiaceae
Corylus;Betulaceae
Ostrya;Betulaceae
Eucalyptus;Myrtaceae
Laburnum;Fabaceae
Cornus;Cornaceae
Arbutus;Ericaceae
Liriodendron;Magnoliaceae
Crataegus;Rosaceae
Frangula;Rhamnaceae
Buxus;Buxaceae
Cydonia;Rosaceae
Citrus;Rutaceae
Cercis;Fabaceae
Erica;Ericaceae
Euonymus;Celastraceae
Phillyrea;Oleaceae
Ilex;Aquifoliaceae
Laurus;Lauraceae
Morus;Moraceae
Pistacia;Anacardiaceae
Rhamnus;Rhamnaceae
Rhus;Anacardiaceae
Sambucus;Adoxaceae
Tamarix;Tamaricaceae
Pinus;Pinaceae
Abies;Pinaceae
Picea;Pinaceae
Larix;Pinaceae
Pseudotsuga;Pinaceae
Cedrus;Pinaceae
Cupressus;Cupressaceae
Taxus;Taxaceae
Taxodium;Cupressaceae
Cryptomeria;Cupressaceae
Chamaecyparis;Cupressaceae
Sequoia;Cupressaceae
Thuja;Cupressaceae
Tsuga;Pinaceae
Juniperus;Cupressaceae
